item_id,name,description,price,veg_non_veg,category_id
45,Chicken Bibimbap,Korean rice bowl with sautéed chicken keema spinach carrot zucchini onion cucumber gochujang sauce and fried egg,300,Non-Veg,9
46,Chicken Bulgogi Bibimbap,Korean rice bowl with marinated chicken bulgogi sautéed spinach carrot zucchini onion cucumber gochujang sauce and fried egg,350,Non-Veg,9
47,Veg Waffle Sandwich,Crispy waffle filled with fresh vegetables,130,Veg,10
48,Egg and Veg Cutlet Waffle Sandwich,Waffle sandwich with egg and vegetable cutlet filling,150,Veg,10
49,Chicken Cutlet Waffle Sandwich,Waffle sandwich with crispy chicken cutlet,160,Non-Veg,10
50,Egg and Chicken Cutlet Waffle Sandwich,Waffle sandwich with egg and chicken cutlet,180,Non-Veg,10
51,Chicken Katsu Waffle Sandwich,Waffle sandwich with Japanese-style breaded chicken katsu,200,Non-Veg,10
52,Egg and Chicken Katsu Waffle Sandwich,Waffle sandwich with egg and crispy chicken katsu,220,Non-Veg,10
53,Waffles with Honey,Classic waffles drizzled with golden honey,120,Veg,11
54,Waffles with Blueberry Jam,Fluffy waffles topped with sweet blueberry jam,150,Veg,11
55,Waffles with Chocolate Sauce,Waffles generously drizzled with rich chocolate sauce,200,Veg,11
56,Waffles with Blueberry Jam and Chocolate Sauce,Waffles with a delicious combination of blueberry jam and chocolate sauce,250,Veg,11
57,Waffles with Nutella,Decadent waffles spread with creamy Nutella,250,Veg,11
58,Brownie,Rich fudgy chocolate brownie (contains egg),90,Veg,12
59,Brownie with Ice-cream,Warm brownie served with a scoop of ice cream (contains egg),150,Veg,12
